Model,Make,Year,vehicle_age,Kilometres,BodyType,engine_displacement,cylinder_count,Transmission,Drivetrain,FuelType,City,Highway,avg_fuel_efficiency,Price,model_frequency,model_frequency_log
Sorento,Kia,2016,9.0,109300.0,SUV,3.299999952316284,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,13.399999618530273,9.399999618530273,11.399999618530273,23424.0,96,4.574710978503383
Sportage,Kia,2018,7.0,63100.0,SUV,2.4000000953674316,4.0,6 SPEED AUTOMATIC,AWD,Gasoline,10.800000190734863,9.100000381469727,9.950000286102295,23880.0,70,4.2626798770413155
Sorento,Kia,2019,6.0,167231.0,SUV,2.5,6.0,8 SPEED AUTOMATIC,AWD,Gasoline,12.5,9.699999809265137,11.099999904632568,23995.0,96,4.574710978503383
Forte,Kia,2021,4.0,14485.0,Sedan,2.0,3.0,CVT,FWD,Gasoline,7.800000190734863,5.900000095367432,6.8500001430511475,24380.0,83,4.430816798843313
Soul,Kia,2021,4.0,69275.0,Wagon,2.0,3.0,CVT,FWD,Gasoline,8.5,7.0,7.75,24993.0,58,4.07753744390572
Forte,Kia,2020,5.0,36000.0,Sedan,2.0,3.5,CVT,FWD,Gasoline,7.900000095367432,5.900000095367432,6.900000095367432,24995.0,83,4.430816798843313
Seltos,Kia,2021,4.0,17813.0,SUV,2.0,6.0,AUTOMATIC,AWD,Gasoline,8.800000190734863,7.599999904632568,8.200000047683716,24998.0,37,3.6375861597263857
Soul,Kia,2022,3.0,7418.0,Wagon,2.0,3.0,CVT,FWD,Gasoline,8.5,7.0,7.75,25825.0,58,4.07753744390572
Soul,Kia,2018,7.0,70122.0,Hatchback,2.0,3.0,1 SPEED AUTOMATIC,FWD,Electric,8.5,7.0,7.75,25990.0,58,4.07753744390572
Sorento,Kia,2020,5.0,163609.0,SUV,2.5,6.0,8 SPEED AUTOMATIC,AWD,Gasoline,12.300000190734863,9.5,10.900000095367432,25995.0,96,4.574710978503383
Sorento,Kia,2020,5.0,74584.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,9.0,10.099999904632568,26880.0,96,4.574710978503383
Sorento,Kia,2020,5.0,82252.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,9.0,10.099999904632568,26980.0,96,4.574710978503383
Sorento,Kia,2020,5.0,80342.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,9.0,10.099999904632568,27180.0,96,4.574710978503383
Sorento,Kia,2020,5.0,73780.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,9.0,10.099999904632568,27892.0,96,4.574710978503383
Sorento,Kia,2019,6.0,51581.0,SUV,3.299999952316284,6.0,8 SPEED AUTOMATIC,AWD,Gasoline,12.5,9.699999809265137,11.099999904632568,27899.0,96,4.574710978503383
Sportage,Kia,2018,7.0,48253.0,SUV,2.4000000953674316,4.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.899999618530273,10.199999809265137,11.049999713897705,28588.0,70,4.2626798770413155
Sorento,Kia,2020,5.0,70863.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,9.0,10.099999904632568,28880.0,96,4.574710978503383
Sorento,Kia,2020,5.0,42901.0,SUV,2.5,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,9.0,10.099999904632568,28880.0,96,4.574710978503383
Sedona,Kia,2017,8.0,47000.0,Minivan,3.299999952316284,6.0,AUTOMATIC,FWD,Gasoline,14.100000381469727,10.5,12.300000190734863,28888.0,9,2.302585092994046
Seltos,Kia,2021,4.0,68486.0,SUV,2.0,6.0,CVT,AWD,Gasoline,8.800000190734863,7.599999904632568,8.200000047683716,28993.0,37,3.6375861597263857
Sportage,Kia,2020,5.0,55000.0,SUV,2.4000000953674316,4.0,6 SPEED AUTOMATIC,AWD,Gasoline,10.800000190734863,9.100000381469727,9.950000286102295,28999.0,70,4.2626798770413155
Seltos,Kia,2021,4.0,83733.0,SUV,2.0,6.0,CVT,AWD,Gasoline,8.800000190734863,7.599999904632568,8.200000047683716,29495.0,37,3.6375861597263857
Seltos,Kia,2021,4.0,75000.0,SUV,2.0,6.0,AUTOMATIC,AWD,Gasoline,8.800000190734863,7.599999904632568,8.200000047683716,29500.0,37,3.6375861597263857
Sedona,Kia,2020,5.0,63228.0,Minivan,3.299999952316284,6.0,8 SPEED AUTOMATIC,FWD,Gasoline,12.699999809265137,9.899999618530273,11.299999713897705,31199.0,9,2.302585092994046
Sportage,Kia,2020,5.0,37563.0,SUV,2.4000000953674316,4.0,6 SPEED AUTOMATIC,AWD,Gasoline,12.100000381469727,9.600000381469727,10.850000381469727,32995.0,70,4.2626798770413155
Sportage,Kia,2021,4.0,22150.0,SUV,2.4000000953674316,4.0,AUTOMATIC,AWD,REGULAR UNLEADED,10.800000190734863,9.100000381469727,9.950000286102295,32995.0,70,4.2626798770413155
Seltos,Kia,2021,4.0,29005.0,SUV,2.0,6.0,7 SPEED AUTOMATIC WITH AUTO-SHIFT,AWD,Gasoline,9.399999618530273,7.900000095367432,8.649999856948853,33493.0,37,3.6375861597263857
Soul,Kia,2020,5.0,81459.0,Hatchback,2.0,3.0,AUTOMATIC,FWD,Gasoline,8.600000381469727,7.099999904632568,7.8500001430511475,23842.0,58,4.07753744390572
Stinger,Kia,2018,7.0,59000.0,Sedan,3.299999952316284,6.0,8 SPEED AUTOMATIC,AWD,Gasoline,12.699999809265137,9.600000381469727,11.150000095367432,34995.0,18,2.9444389791664403
Stinger,Kia,2018,7.0,107598.0,Sedan,3.299999952316284,6.0,AUTOMATIC,AWD,Gasoline,12.699999809265137,9.600000381469727,11.150000095367432,36995.0,18,2.9444389791664403
Sorento,Kia,2019,6.0,30636.0,SUV,3.299999952316284,6.0,AUTOMATIC,AWD,REGULAR UNLEADED,12.5,9.699999809265137,11.099999904632568,36995.0,96,4.574710978503383
Niro,Kia,2019,6.0,84869.0,Wagon,1.600000023841858,4.0,1 SPEED AUTOMATIC,FWD,Electric,4.900000095367432,5.300000190734863,5.1000001430511475,36998.0,6,1.9459101490553132
Sportage,Kia,2022,3.0,9145.0,SUV,2.4000000953674316,4.0,6 SPEED AUTOMATIC,AWD,Gasoline,10.699999809265137,9.0,9.849999904632568,37980.0,70,4.2626798770413155
Sorento,Kia,2022,3.0,15337.0,SUV,2.5,6.0,8 SPEED AUTOMATIC,AWD,Gasoline,10.100000381469727,9.199999809265137,9.650000095367432,38366.0,96,4.574710978503383
Sorento,Kia,2019,6.0,33718.0,SUV,2.5,6.0,8 SPEED AUTOMATIC,AWD,Gasoline,12.5,9.699999809265137,11.099999904632568,38987.0,96,4.574710978503383
